Vmag,Plx,e_Plx,B-V,SpType,Amag,target
7.96,11.84,1.16,0.421,F2/F3V,18.326758511934507,0.0
8.87,3.15,1.18,0.081,A0V,16.361552768948002,0.0
9.64,6.1,1.44,0.432,F2V,18.566649175053836,0.0
9.15,8.21,2.41,0.424,F3V,18.721715785597205,0.0
9.04,4.31,1.25,0.422,F0V,17.212386350803655,0.0
8.09,3.38,1.13,1.125,K1IIICN...,15.734583501388274,1.0
9.06,1.06,0.94,1.688,K5III:,14.186529326323852,1.0
9.16,4.81,1.11,0.232,A2III,17.57072538186916,1.0
8.82,1.39,1.31,0.979,G8/K0III,14.535074001270475,1.0
11.14,1.86,2.09,0.041,A0V,17.487564721089583,0.0
9.44,5.68,4.61,0.439,F3V,18.211741678555093,0.0
6.96,15.84,0.81,0.353,F2V,17.958775886267375,0.0
7.94,2.79,0.95,-0.023,B2IVne+...,15.168021016367987,0.0
8.69,0.81,0.87,0.12,B8V,13.232425094393248,0.0
9.01,2.11,1.04,0.956,G8III,15.631412276488463,1.0
8.55,1.38,1.06,1.212,K1IV/VCN...,14.249395432006184,0.0
8.68,3.48,1.17,1.011,K0III,16.387896219732905,1.0
7.78,15.26,1.03,0.563,F8/G0V,18.69777266809431,0.0
8.29,13.14,0.97,0.488,F6V,18.882976826118806,0.0
9.67,2.83,1.45,0.397,F0V,16.92893217762145,0.0
8.24,25.29,1.11,0.78,G8V,20.254744146722025,0.0
8.44,9.67,0.86,0.508,F5V,18.367132370415007,0.0
4.55,14.31,0.92,-0.047,B9IVn,15.328198168798881,0.0
7.66,20.44,0.96,0.741,G5IV,19.212404457313376,0.0
8.59,14.36,2.44,0.616,G2V,19.375772199531408,0.0
8.54,4.59,1.04,0.23,A7V,16.849063427686303,0.0
9.58,12.24,1.44,0.7,G5V,20.01890708904771,0.0
8.01,10.62,1.46,0.406,F3/F5V,18.14062258372725,0.0
9.62,6.67,0.97,0.657,F8V,18.740629169582746,0.0
7.91,5.53,0.62,0.314,F0III/IV,16.623625656523494,1.0
9.45,2.07,1.37,1.115,G8/K0IV,16.029851727284587,0.0
8.93,9.88,1.18,0.607,G2/G3V,18.90378472293814,0.0
7.65,3.93,0.97,0.992,G8IV,15.621962751877133,0.0
7.09,4.24,0.92,-0.085,B8V,15.226829282963664,0.0
5.9,0.89,0.58,0.274,A1III,10.646950033224565,1.0
8.41,6.58,0.94,0.563,F6V,17.501129468069777,0.0
9.05,5.54,1.44,0.16,A1/A2IV/V,17.76754882364215,0.0
8.55,4.12,0.84,0.037,A1V,16.624486080165674,0.0
8.11,14.91,1.01,0.484,F6V,18.977388217264973,0.0
9.44,0.58,1.57,1.069,G8IV,13.257139967814686,0.0
9.6,7.92,1.55,0.549,G0V,19.09362590794747,0.0
5.78,11.29,0.92,1.084,K0III,16.04346970962484,1.0
6.38,7.75,0.91,0.006,A1V,15.82650851253155,0.0
8.8,5.27,1.12,1.031,K1III,17.409053076062733,1.0
7.79,2.46,0.85,-0.089,B3V,14.744675535516896,0.0
7.77,4.1,1.06,-0.058,B8/B9V,15.833919283598677,0.0
9.8,22.52,1.48,0.855,K0V,21.562841930896546,0.0
7.33,10.92,0.64,0.444,F2V,17.521113191843593,0.0
8.93,0.95,0.79,1.025,G8III,13.818618026444238,1.0
9.09,17.09,0.88,0.639,G3/G5III/IV,20.253710313603683,1.0
8.73,3.4,0.93,1.036,K0III,16.387394585211275,1.0
9.26,1.99,1.57,1.149,K0III,15.754265382048533,1.0
8.94,1.59,1.32,1.181,K1IV,14.946985621602257,0.0
6.11,1.94,1.12,0.159,B9III,12.549008649651132,1.0
9.13,1.38,0.79,0.239,A2/A3IV,14.829395432006184,0.0
7.13,2.46,0.81,1.26,K1III,14.084675535516896,1.0
7.46,4.15,0.66,1.072,K0/K1III,15.550240483560465,1.0
5.59,5.7,0.53,-0.1,B8III,14.369374278362457,1.0
7.37,11.46,0.84,0.422,F5IV,17.665923088156855,0.0
5.68,10.3,0.58,1.051,K1III,15.74418612352586,1.0
9.06,4.16,1.2,0.368,F0V,17.155466653133715,0.0
8.28,5.65,1.16,0.002,A0IV,17.040242239097193,0.0
6.09,27.18,4.3,0.632,G2V,18.261247261982376,0.0
8.31,3.15,1.1,0.036,A0IV/V,15.801552768948003,0.0
7.83,2.91,0.97,1.256,K2III,15.149464944929537,1.0
6.61,2.13,0.82,0.025,B3V,13.251898017193689,0.0
6.25,5.34,0.77,1.368,K4IIIb,14.887706285142782,1.0
7.82,39.06,0.93,0.755,G9V,20.778661194759177,0.0
8.97,11.56,1.31,0.674,G3V,19.284789170422552,0.0
7.47,14.53,1.21,0.55,F8V,18.28132807149011,0.0
8.13,22.09,0.71,0.71,G5V,19.850978579357175,0.0
8.23,4.41,1.1,0.986,G9III,16.452192947339192,1.0
8.41,8.49,0.77,0.461,F5V,18.054538451219763,0.0
7.73,19.78,0.87,0.537,G0V,19.211131436305802,0.0
8.64,1.96,0.95,0.889,G6III,15.10128035678238,1.0
6.32,6.95,0.81,1.099,G9III:,15.52992402295057,1.0
8.97,5.12,1.34,0.86,G8/K0V,17.516349804879155,0.0
7.53,23.9,0.85,0.577,G0V,19.42198950474069,0.0
8.14,14.25,0.83,0.593,G0V,18.909074321722645,0.0
6.71,6.66,0.75,0.068,A1Vn,15.827371145851505,0.0
8.73,1.42,1.2,1.124,K1III,14.491441721915283,1.0
7.1,6.27,0.87,1.128,K1III,16.086337704153582,1.0
9.04,1.4,1.32,0.692,F2V,14.77064017839119,0.0
9.3,10.28,1.33,0.538,F3/F5V,19.359965573296286,0.0
8.49,62.48,0.82,1.076,K5V,22.46870510434622,0.0
6.93,4.29,0.83,0.94,G8III/IV,15.09228646092362,1.0
8.38,4.33,1.15,-0.06,B9V,16.56243948176683,0.0
4.61,25.38,1.05,1.029,K1III,16.63245808879343,1.0
8.56,229.33,1.08,1.462,M2V,25.36230435525089,0.0
8.78,1.29,1.02,1.156,K2III,14.332948551496244,1.0
7.42,9.55,0.76,0.191,A1Vs,17.32001685791873,0.0
8.26,1.69,1.27,1.052,G4V:p,14.399433523068367,0.0
7.71,5.05,0.64,1.093,K0III,16.226456890593308,1.0
9.16,9.89,1.18,0.782,G8IV,19.1359814579859,0.0
7.39,4.76,0.99,0.99,K0III,15.778034763602466,1.0
7.78,4.79,0.99,1.123,K0III,16.181677567072818,1.0
7.47,2.01,0.96,1.62,M3III,13.985980287102443,1.0
8.82,18.57,0.95,0.666,G5V,20.164059518698902,0.0
9.73,6.89,1.46,0.725,G5V,18.921096109538126,0.0
7.36,4.25,0.72,0.993,K0III,15.50194465025156,1.0
7.36,2.3,0.82,1.444,K3/K4III,14.168639180087965,1.0
8.47,0.47,0.94,-0.18,B1.5IV,11.830489289678589,0.0
6.99,4.25,0.78,1.187,K0III,15.131944650251558,1.0
5.55,8.75,0.8,0.901,G5III,15.260040265111567,1.0
9.91,5.59,1.7,0.353,A9/F0V,18.647059039432115,0.0
9.67,2.19,1.68,0.524,F3/F5V,16.37222057420059,0.0
8.6,1.87,1.29,1.1,K1III,14.959208032682495,1.0
9.37,6.18,1.34,0.507,F6V,18.32494237544408,0.0
9.99,7.92,1.61,0.646,G5/G6V,19.48362590794747,0.0
7.51,24.85,0.92,0.595,G0V,19.486631965346753,0.0
8.99,12.99,0.94,0.585,F8V,19.558045755365143,0.0
9.71,0.87,1.53,0.915,G8IV/V,14.407596263093094,0.0
8.55,4.19,1.14,1.357,K3III,16.661070114831478,1.0
6.62,2.9,0.77,1.531,K5III,13.931989989494781,1.0
7.51,5.66,0.82,1.112,K1III-IV,16.274082155941358,1.0
8.51,1.8,0.83,1.576,K3III,14.78636252551653,1.0
9.67,13.05,1.67,0.633,G3V,20.248052558371498,0.0
7.9,4.39,0.96,-0.03,B9V,16.112322601210607,0.0
9.82,5.66,1.65,0.418,F2V,18.58408215594136,0.0
8.89,5.95,1.14,0.476,F5IV/V,17.762584828642748,0.0
5.98,49.3,1.05,0.687,G5V,19.44423459638615,0.0
7.92,5.38,1.67,0.459,F3IV,16.573911378331946,0.0
5.7,39.0,0.64,0.519,G1IV...,18.655323035132497,0.0
8.75,7.24,1.32,0.487,F6/F7V,18.048692830985736,0.0
7.31,6.73,0.9,0.402,F2IV,16.450075321119883,0.0
8.35,8.11,0.91,0.624,G1V,17.89510427105578,0.0
5.57,3.32,0.54,-0.023,B9III,13.175690418520182,1.0
9.85,4.6,1.18,0.526,F6V,18.16378915840787,0.0
9.03,3.63,1.27,1.349,K1/K2III:,16.82953312518056,1.0
9.35,3.91,1.56,0.41,F2V,17.310883786979332,0.0
6.68,5.13,0.79,0.986,G9III,15.230586825559081,1.0
9.69,10.02,3.4,0.578,F6V,19.694338607656135,0.0
6.07,72.98,0.75,0.752,K0V,20.38601929514315,0.0
7.71,5.02,0.87,1.038,G8III,16.213518585725097,1.0
8.56,5.61,1.12,0.548,F7V,17.304814306280807,0.0
9.83,2.3,10.4,0.587,G2/G3V,16.638639180087964,0.0
8.72,6.36,0.97,0.41,F4IVws,17.73728557824207,0.0
6.19,25.59,0.75,0.386,F2IV,18.230351429435927,0.0
10.18,0.77,1.61,0.58,F5V,14.61245362586241,0.0
6.91,3.69,0.8,1.123,K0III,14.745131830795302,1.0
8.79,1.16,1.17,1.234,K3III,14.112289946134592,1.0
10.24,3.82,3.43,0.402,F2/F3V,18.150316814558543,0.0
7.62,3.73,0.94,0.955,G8III,15.478544159043437,1.0
8.96,4.04,1.13,0.446,F3IV/V,16.991906825553023,0.0
9.52,4.4,1.07,0.19,A0V,17.73726338243094,0.0
8.68,7.89,2.34,0.529,F5V,18.1653850160471,0.0
8.65,4.33,1.16,0.061,A1V,16.832439481766826,0.0
8.41,5.14,1.01,0.405,F3V,16.96481559497638,0.0
9.31,6.51,1.2,0.226,A9V,18.37790494284096,0.0
10.28,6.34,2.0,0.503,F3V,19.290446289408663,0.0
7.56,11.92,0.61,0.419,F5IV-V,17.941381277021087,0.0
8.23,17.18,1.0,0.599,F8/G0V,19.405115797476117,0.0
8.52,2.2,1.24,1.084,K1III,15.23211340411103,1.0
6.2,6.24,0.85,0.133,A2IV/V,15.175922948412122,0.0
7.48,2.87,0.87,1.532,K5III,14.769409483669962,1.0
7.06,20.63,0.91,0.463,F5V,18.632496139865758,0.0
7.33,9.37,0.84,1.011,K1IV,17.188697954438894,0.0
8.53,7.21,1.14,0.909,K0V,17.819676323597143,0.0
8.4,2.19,0.77,1.014,G8III,15.102220574200592,1.0
7.48,7.51,0.77,0.466,F5IV/V,16.858199685020843,0.0
8.7,30.76,1.21,0.798,K0V,21.13993165564697,0.0
8.37,8.86,1.46,0.595,F7V,18.107168609435256,0.0
7.5,2.5,0.69,1.703,M1III,14.489700043360187,1.0
7.39,2.53,0.57,-0.018,B9IV,14.40560260587909,0.0
8.19,8.21,0.99,0.584,F8/G0V,17.761715785597204,0.0
8.66,2.38,0.88,0.79,G3III,15.54288478528256,1.0
6.83,7.84,0.65,1.158,K1/K2III,16.301580313422193,1.0
9.06,1.6,1.32,1.074,M2III:,15.080599913279624,1.0
8.79,4.21,1.16,1.127,K2III,16.91141047917834,1.0
6.43,6.69,0.92,-0.146,B8IIIsp...,15.557130588839115,1.0
5.93,12.45,0.74,0.141,A1V,16.405846757158777,0.0
8.21,3.5,1.11,1.087,K0/K1III,15.93034022175138,1.0
8.85,7.79,2.24,0.631,G3:V: + G2:,18.30768728836282,0.0
7.79,1.17,0.67,1.45,K3III,13.13092930873081,1.0
7.58,3.64,0.94,1.271,K1IV,15.38550691824528,0.0
7.85,10.66,0.99,0.505,F5V,17.988786023452768,0.0
7.18,8.95,0.6,0.156,A3V,16.93911517657956,0.0
9.72,6.43,1.39,0.434,F3/F5V,18.76105486462111,0.0
9.77,6.67,1.5,0.306,A8/A9V,18.890629169582745,0.0
8.84,4.37,1.17,1.042,K0III,17.04240718485211,1.0
5.67,10.02,0.71,1.119,K1III,15.674338607656136,1.0
8.36,2.42,0.93,1.113,K1IIICN...,15.279076829902156,1.0
8.74,1.92,0.83,1.227,K2III,15.156506143517749,1.0
6.18,3.25,0.96,1.366,K2III,13.739416804894372,1.0
10.16,5.68,2.36,0.393,F5V,18.931741678555092,0.0
7.04,36.18,1.02,0.624,G2/G3V,19.832342812618975,0.0
5.99,9.79,0.92,1.034,G8III:,15.943913459015688,1.0
8.22,3.5,1.43,1.064,K1III,15.940340221751379,1.0
9.86,7.73,3.35,0.789,K0V,19.300897469591625,0.0
9.1,3.83,1.17,1.169,K1IV,17.015993869843115,0.0
8.89,2.8,1.1,1.179,K1III,16.125790156711098,1.0
9.43,1.52,1.51,0.47,F2V,15.339217939723863,0.0
7.59,25.15,0.97,0.626,G2V,19.59268994695973,0.0
9.86,2.3,1.46,0.157,A3III,16.668639180087965,1.0
9.23,0.65,1.34,0.988,K0III,13.294566783214279,1.0
9.5,5.59,1.5,0.493,G:III/IV+..,18.237059039432115,1.0
7.59,7.6,0.89,0.508,F3/F5V,16.994067961403957,0.0
9.26,11.01,0.95,0.675,G3/G5IV/V,19.468936594858757,0.0
6.11,2.42,0.79,1.664,M0/M1IIICNp,13.029076829902156,1.0
7.38,2.89,0.71,1.326,K3III,14.68448921378274,1.0
6.21,30.26,0.69,0.504,F8IV,18.61434461843584,0.0
8.5,5.07,1.56,0.406,F2III/IV,17.025039796666682,1.0
7.88,5.03,0.85,0.473,F3V,16.387839925279636,0.0
9.1,3.19,0.96,1.113,K0III,16.618953415285905,1.0
8.65,6.86,1.05,0.471,F3V,17.83162057853376,0.0
8.41,16.24,0.7,0.588,G2V,19.462930124525784,0.0
7.81,8.58,0.86,0.481,F5IV,17.477436439243526,0.0
9.55,4.78,1.13,0.473,F5V,17.947139483060596,0.0
6.24,7.78,0.81,0.976,K0III,15.694897984948446,1.0
9.27,0.25,1.21,1.146,K1III,11.259700043360187,1.0
7.13,3.16,0.96,1.64,M2III,14.62843541309202,1.0
9.14,2.6,1.43,1.053,K1III,16.21486673985409,1.0
7.21,7.86,1.07,1.087,K0III,16.68711273019704,1.0
7.72,18.22,0.95,0.62,G0V,19.022741863184898,0.0
6.47,8.65,0.94,0.242,A4Vm,16.15508053732407,0.0
5.57,11.17,0.72,1.043,G9III,15.810265865578046,1.0
6.32,7.0,0.74,0.738,G4IV...,15.545490200071285,0.0
7.78,6.49,0.82,0.417,F3IV/V,16.841223484001848,0.0
9.2,8.35,1.16,0.811,G8V,18.808432377418008,0.0
9.32,4.32,1.37,0.549,F6V,17.49741873407456,0.0
8.21,2.98,1.01,1.339,K3III,15.581081320381276,1.0
7.05,3.15,0.72,-0.122,B5V,14.541552768948002,0.0
9.26,6.75,1.19,0.671,G3V,18.406518864155125,0.0
2.28,59.89,0.56,0.38,F2III-IV,16.166771565421048,1.0
9.3,4.36,1.46,0.972,K2III,17.49743244634293,1.0
8.89,1.97,1.11,1.033,G8III,15.362331130807965,1.0
9.6,7.75,1.28,0.446,F6V,19.046508512531553,0.0
7.07,19.28,0.79,0.644,G2III,18.49553514783406,1.0
6.01,8.56,1.17,0.203,A7IV,15.672368823385765,0.0
5.42,14.57,1.34,0.414,F3V,16.237297758849948,0.0
9.11,11.89,1.31,0.83,G8/K0V,19.485909273093455,0.0
8.24,1.42,1.15,0.08,B5V,14.001441721915283,0.0
3.88,23.28,0.98,1.013,K0III,15.714914879889253,1.0
7.94,13.8,1.3,0.66,G3V,18.639395432006182,0.0
8.52,16.26,0.98,0.687,G3V,19.575602706290248,0.0
7.59,5.36,0.88,1.005,G8IV,16.235823948463853,0.0
9.17,1.78,1.37,1.029,K1III,15.42210001154447,1.0
8.08,4.57,0.82,1.068,K1III,16.379581000349255,1.0
9.8,3.03,1.5,0.524,F5/F6V,17.207213142511527,0.0
8.92,8.17,1.89,0.499,F5V,18.48111028266208,0.0
9.91,4.45,1.34,0.355,F0V,18.15180005490466,0.0
8.37,3.25,1.5,0.952,G8III,15.929416804894371,1.0
7.4,4.31,0.7,1.571,M2III,15.572386350803658,1.0
8.35,6.9,1.41,0.437,F3/F5V,17.544245453686276,0.0
9.53,23.86,1.59,0.965,K1/K2V,21.418352196671613,0.0
8.57,13.92,1.11,0.644,G3V,19.288196176372715,0.0
8.84,17.08,1.86,0.833,K1V,20.002439331764933,0.0
6.34,7.37,0.57,0.164,A6V,15.677337439295258,0.0
8.32,18.8,1.05,0.595,G2/G3V,19.6907892463184,0.0
8.78,8.36,0.83,1.011,K1IV/V,18.39103138719508,0.0
7.93,4.37,0.77,0.964,K0III,16.13240718485211,1.0
7.66,6.14,0.89,0.139,A2V,16.600841855705838,0.0
5.54,10.04,0.86,-0.064,B9V,15.548668564045002,0.0
5.29,13.45,0.5,1.049,K1/K2III,15.933611421692135,1.0
8.13,9.63,0.81,0.456,F3V,18.048131435622672,0.0
9.08,1.56,0.89,1.031,G8III/IV,15.045622991772309,1.0
7.88,11.15,0.68,0.476,F5V,18.116374336920895,0.0
9.37,4.95,1.42,0.409,F0V,17.843025994667844,0.0
6.97,3.21,0.6,1.377,K3III,14.50252516202436,1.0
8.56,8.5,2.9,0.524,F5V,18.207094628571465,0.0
9.47,6.1,1.56,0.526,F7V,18.396649175053838,0.0
8.91,3.93,1.13,0.356,F0III,16.881962751877133,1.0
7.83,1.12,0.83,1.311,G8III,13.076090113350908,1.0
9.37,5.26,0.97,0.411,F2/F3V,17.974928720768695,0.0
5.84,18.18,0.92,0.973,K1III,17.137969394429742,1.0
9.81,3.85,1.39,0.437,F3V,17.737303647542504,0.0
9.5,7.14,1.38,0.423,F3/F5V,18.768491058880873,0.0
9.32,4.82,1.18,0.511,F5V,17.73523519119425,0.0
8.92,13.53,1.28,0.578,G2V,19.576488982988117,0.0
8.38,10.15,1.04,0.508,F7V,18.412330211246157,0.0
9.49,4.92,3.74,1.232,K2III:,17.9498255138368,1.0
8.35,6.17,1.02,0.528,F7V,17.30142582016621,0.0
7.11,3.65,0.87,1.528,M4III:,14.921464322282374,1.0
9.87,4.11,2.38,0.503,F2V,17.939209109380343,0.0
8.24,12.91,1.06,0.491,F6V,18.794631211332103,0.0
6.74,6.52,0.73,-0.074,B7IV,15.811237978659602,0.0
6.83,4.74,0.76,1.429,K4III,15.208891708370427,1.0
6.7,1.66,0.61,-0.017,B1V,12.800540440200276,0.0
8.67,3.45,1.27,1.037,K0III,16.35909547536637,1.0
8.73,5.51,0.84,0.563,F7IV,17.435757994258925,0.0
6.66,15.06,0.7,0.372,F3/F5IV+...,17.54912485932341,0.0
8.97,1.74,2.12,0.674,B7IIIe+K3III,15.172746241412998,1.0
8.55,4.38,1.15,0.692,G3V,16.7573705525205,0.0
5.84,15.35,0.74,1.0,K0III,16.770541899066025,1.0
8.68,7.95,1.08,0.588,G2V,18.18183564328235,0.0
8.27,1.62,0.92,0.146,B7V,14.317575072713154,0.0
7.68,3.48,1.04,1.028,K0III,15.387896219732905,1.0
9.4,9.43,1.0,0.551,F5IV,19.272558463686643,0.0
6.89,4.7,0.82,0.951,K0III,15.250489289678587,1.0
8.27,7.77,2.24,0.517,F6IV/V,17.72210509400457,0.0
7.71,2.25,0.98,1.253,K1/K2III,14.470912590556813,1.0
8.88,1.02,1.19,1.169,K1III,13.923000858809589,1.0
7.78,4.53,1.05,1.302,M3III,16.06049101006416,1.0
8.55,12.6,1.18,0.435,F5V,19.051852725587814,0.0
11.55,24.32,3.25,1.395,M2V:,23.47981785300349,0.0
6.68,4.43,0.73,1.212,K1III,14.912018631115348,1.0
8.85,4.41,0.77,0.585,F8/G0V,17.072192947339193,0.0
4.89,52.94,0.77,0.487,F5V,18.508919684826648,0.0
8.88,4.78,1.23,1.14,K2III,17.277139483060594,1.0
7.7,5.09,1.26,1.2,K0III/IV,16.233588911683793,1.0
8.6,15.08,1.1,0.7,G6V,19.492006707668775,0.0
8.44,1.58,1.05,0.127,A3V,14.433285434772113,0.0
7.95,29.35,0.95,0.755,K0V,20.288040527918167,0.0
8.48,11.58,1.13,0.473,F3V,18.798542796957086,0.0
8.97,20.86,2.16,0.807,G6/G8V,20.566571520452563,0.0
8.34,4.31,1.11,0.409,F3V,16.51238635080366,0.0
7.75,4.71,0.89,1.152,K2III,16.11510453564448,1.0
8.34,17.0,0.82,0.619,G4V,19.49224460689137,0.0
5.41,5.61,0.92,1.346,K2III,14.154814306280807,1.0
6.93,7.77,0.88,0.994,K0III,16.382105094004572,1.0
9.04,27.46,1.09,0.891,K1V,21.233502664503682,0.0
7.85,7.57,1.06,0.561,F7V,17.24547939750036,0.0
7.21,4.78,0.59,0.916,G8III,15.607139483060593,1.0
8.98,3.36,1.48,0.966,K0IV,16.61169638694922,0.0
8.85,8.01,0.94,0.518,F6V,18.368162580421185,0.0
9.21,0.53,1.02,0.142,A0V,12.831379348003946,0.0
9.92,29.15,1.54,1.071,K5V,22.243192795475164,0.0
5.24,45.85,0.66,0.459,F3/F5V,18.546696700030203,0.0
